date,headline,source,summary,directional_sentiment
2024-11-14,Tracking Jeremy Granthams GMO Capital Portfolio - Q3 2024 Update,SeekingAlpha,GMOâs 13F portfolio increased to $31.91B in Q3 2024. Click here to read more about the holdings and trades of GMO Capital Portfolio.,0
2024-11-14,3 Ultra-Safe Dividend Stocks That Have Been Paying Dividends for More Than 100 Years,Yahoo,These are income stocks you can buy and hold forever.,0
2024-11-16,Abbott Laboratories stock underperforms Friday when compared to competitors despite daily gains,MarketWatch,Abbott Laboratories stock underperforms Friday when compared to competitors despite daily gains,-1
2024-11-19,How I Repurposed My Late Fathers Trust Account,SeekingAlpha,I restructured my fathers Trust for better diversification and risk reduction. See why I reduced Health Care and Consumer stocks and shifted to new sectors.,-1
2024-11-23,2 Dividend Kings to Buy for a Lifetime of Passive Income,Yahoo,Dividend Kings are among the best income stocks on the market.  Lets consider two companies in this elite group with the exact qualities long-term income investors want: Coca-Cola (NYSE: KO) and Abbott Laboratories (NYSE: ABT).  Few businesses are better known worldwide than Coca-Cola.,1
2024-11-25,Abbott Announces First Step Toward Its Software-Guided Balloon-Expandable TAVI System to Treat Aortic Stenosis,Yahoo,Abbott (NYSE: ABT) today announced the first patient procedures with its investigational transcatheter aortic valve implantation (TAVI) balloon-expandable system for treating symptomatic severe aortic stenosis. This investigational Abbott TAVI system is the first step toward Abbotts software-guided balloon-expandable TAVI system and is designed to build a foundation for artificial intelligence (AI) guided procedures. Once the investigational balloon-expandable system completes clinical developm,1
2024-11-25,Abbott Laboratories: Investors Should Wait For A Pullback,SeekingAlpha,Abbott Laboratories revenue and return on invested capital could be more consistent. Read why potential investors will need to be patient with ABT stock.,-1
2024-11-28,"Top Research Reports for Abbott, BlackRock & ConocoPhillips",Yahoo,"Todays Research Daily features new research reports on 16 major stocks, including Abbott Laboratories (ABT), BlackRock, Inc. (BLK) and ConocoPhillips (COP), as well as two micro-cap stocks, NetSol Technologies, Inc. (NTWK) and Optex Systems Holdings, Inc (OPXS).",0
2024-11-29,"The Zacks Analyst Blog Abbott, BlackRock, ConocoPhillips, NetSol and Optex Systems",Yahoo,"Abbott, BlackRock, ConocoPhillips, NetSol and Optex Systems are included in this Analyst Blog.",0
2024-12-05,Brokers Suggest Investing in Abbott (ABT): Read This Before Placing a Bet,Yahoo,"The average brokerage recommendation (ABR) for Abbott (ABT) is equivalent to a Buy. The overly optimistic recommendations of Wall Street analysts make the effectiveness of this highly sought-after metric questionable. So, is it worth buying the stock?",1
2024-12-06,Abbott (ABT) Registers a Bigger Fall Than the Market: Important Facts to Note,Yahoo,"In the latest trading session, Abbott (ABT) closed at $115.59, marking a -0.33% move from the previous day.",-1
2024-12-07,"Abbott Laboratories stock rises Friday, still underperforms market",MarketWatch,"Abbott Laboratories stock rises Friday, still underperforms market",-1
2024-12-08,"University of Nebraska Wins the Abbott and Big Ten Conferences Nationwide We Give Blood Drive Competition, Receives $1 Million Grant from Abbott",Finnhub,"Nearly 20,000 Big Ten students, alumni and fans across the country donated blood as part of the Abbott-Big Ten nationwide competition this college football season, helping save as many as 60,000...",0
2024-12-09,"Insiders At Abbott Laboratories Sold US$3.0m In Stock, Alluding To Potential Weakness",Yahoo,"Over the past year, many Abbott Laboratories ( NYSE:ABT ) insiders sold a significant stake in the company which may...",-1
2024-12-12,Abbott (ABT) Stock Sinks As Market Gains: Heres Why,Yahoo,"In the closing of the recent trading day, Abbott (ABT) stood at $114.14, denoting a -1.18% change from the preceding trading day.",-1
2024-12-13,Abbott Labs Extends Royal Dividend Run With 7.3% Increase,Finnhub,"By Colin Kellaher Abbott Laboratories board has raised the quarterly dividend by 7.3%, to 59 cents, making it 53 straight years that the healthcare-products company has boosted its payout. ...",1
2024-12-14,PBH or ABT: Which Is the Better Value Stock Right Now?,Yahoo,PBH vs. ABT: Which Stock Is the Better Value Option?,0
2024-12-14,"Dividend Champion, Contender, And Challenger Highlights: Week Of December 15",SeekingAlpha,"Stay updated on dividend activity for top companies, including changes in dividends and upcoming ex-dividend and pay dates.",0
2024-12-17,Are Abbott Laboratories (NYSE:ABT) Fundamentals Good Enough to Warrant Buying Given The Stocks Recent Weakness?,Yahoo,"It is hard to get excited after looking at Abbott Laboratories (NYSE:ABT) recent performance, when its stock has...",-1
2024-12-18,Abbott Laboratories stock underperforms Tuesday when compared to competitors despite daily gains,MarketWatch,Abbott Laboratories stock underperforms Tuesday when compared to competitors despite daily gains,-1
2024-12-19,Reasons to Retain ABT Stock in Your Portfolio Now,Yahoo,"Investors feel optimistic about Abbotts robust strength in the EPD and Nutrition businesses. Yet, unfavorable forex impacts are concerning.",0
2024-12-19,2 Top Dividend Stocks to Buy and Hold Through 2025 and Beyond,Yahoo,"Whatever the answer is, it probably wont be dividend investing.  Lets consider two income-focused corporations whose shares are worth holding on to well beyond next year: AbbVie (NYSE: ABBV) and Abbott Laboratories (NYSE: ABT).  AbbVie, a former division of Abbott Laboratories, became a stand-alone company in 2013.",0
2024-12-24,Wall Street Breakfast Podcast: Biden To Rule On US Steel Takeover,SeekingAlpha,Biden to decide on US Steel takeover after CFIUS deadlocks. Rocket Companies stock drops after CFPB sues Rocket Mortgages. Abbott in settlement with DexCom over continuous glucose monitors.,1
2024-12-24,"DexCom, Abbott Agree to Settlement in Patent Litigation",DowJones,"DexCom, Abbott Agree to Settlement in Patent Litigation",1
2024-12-28,Why Is Abbott Laboratories (ABT) Among Diamond Hill Capital’s Top Stock Picks?,Yahoo,"We recently compiled a list of the Diamond Hill Capital’s Top 10 Stock Picks. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against Diamond Hill Capital’s other stock picks. Heather Brilliant’s Diamond Hill Capital is a Columbus, Ohio-based investment management firm founded in 1997 by Ric Dillon, who managed […]",1
2024-12-28,"2 No-Brainer Healthcare Stocks to Buy With $1,000 Right Now",Yahoo,"In any case, it should have a solid track record of earnings growth and promising long-term prospects.  Second, after spending more than $1 million on a robot, hospitals will probably continue using the platform, aiming to amortize the investment over a period of years.",0
2024-12-30,Highest Quality Dividend Kings For 2025,SeekingAlpha,Only 11 Dividend Kings outperformed the S&P 500 during the last decade based on Total Return. Check out five Dividend Kings earn the rank of High Quality.,0
2024-12-31,Boston Scientific Corporation: Solid Financials And Upward Continuation,SeekingAlpha,"Boston Scientific closes the year at historic highs, with investors refusing to liquidate even at these levels. Check out why I rate BSX stock a buy now.",0
2024-12-31,A Look At The Intrinsic Value Of Abbott Laboratories (NYSE:ABT),Yahoo,"Key Insights Using the 2 Stage Free Cash Flow to Equity, Abbott Laboratories fair value estimate is US$138 With US$113...",1
2024-12-31,Abbott (ABT) Dips More Than Broader Market: What You Should Know,Yahoo,"In the closing of the recent trading day, Abbott (ABT) stood at $112.80, denoting a -1.9% change from the preceding trading day.",-1
2025-01-03,Are Medical Stocks Lagging  Abbott Laboratories (ABT) This Year?,Yahoo,"Here is how Abbott (ABT) and Acurx Pharmaceuticals, Inc. (ACXP) have performed compared to their sector so far this year.",-1
2025-01-04,Abbott Laboratories (NYSE:ABT) Could Easily Take On More Debt,Yahoo,"Howard Marks put it nicely when he said that, rather than worrying about share price volatility, The possibility of...",0
2025-01-06,Is Abbott Laboratories (NYSE:ABT) the Best January Dividend Stock to Buy?,Yahoo,"We recently compiled a list of the 10 Best January Dividend Stocks To Buy. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against the other January dividend stocks. In 2024, dividend stocks fell short of investor expectations, largely due to the continuing AI boom and a heightened interest […]",0
2025-01-07,Abbott (ABT) Stock Falls Amid Market Uptick: What Investors Need to Know,Yahoo,"In the latest trading session, Abbott (ABT) closed at $113.04, marking a -0.69% move from the previous day.",-1
2025-01-08,BDSX Stock Rises After Publication of Study Data for Nodify CDT Test,Yahoo,Biodesix announces positive study data for its Nodify CDT blood-based lung nodule test published in CHEST Pulmonary Journal.,0
2025-01-09,"AngioDynamics Stock Up on Q2 Earnings Beat, Gross Margin Declines",Yahoo,"ANGO registers overall strong top-line results on a pro-forma basis in second-quarter fiscal 2025, driven by strength in the Med Tech business.",0
2025-01-11,"Dividend Champion, Contender, And Challenger Highlights: Week Of January 12",SeekingAlpha,"Stay updated on dividend activity for companies in the Champions, Contenders, and Challengers categories, as well as upcoming ex-dividend and pay dates.",0
2025-01-15,How To Write A Case Brief: The Ultimate Cheatsheet,Finnhub,"Case briefing has a long history in legal studies as a tried-and-true method for reviewing and analyzing judicial opinions.Whether youre a law student attempting to master case briefing, or a lawyer...",0
2025-01-16,‘Wolf Man’ Review: Christopher Abbott’s Feral Father,DowJones,‘Wolf Man’ Review: Christopher Abbott’s Feral Father,0
2025-01-20,"Becton, Dickinson: Hold, Momentum Is Gaining, Just Need More Growth",SeekingAlpha,"Financial writer rates Becton Dickinson and Co as a hold due to low growth and valuation concerns, despite positive indicators for future growth.",0
2025-01-22,Abbott (ABT) Q4 Earnings Meet Estimates,Yahoo,"Abbott (ABT) delivered earnings and revenue surprises of 0% and 0.45%, respectively, for the quarter ended December 2024. Do the numbers hold clues to what lies ahead for the stock?",0
2025-01-22,Abbott Reports Fourth-Quarter and Full-Year 2024 Results; Issues 2025 Financial Outlook,Finnhub,Fourth-quarter sales of $11.0 billion; full-year 2024 sales of $42.0 billionFourth-quarter reported sales increased 7.2 percent; organic sales growth for the underlying base business increased 10.1...,1
2025-01-22,"Compared to Estimates, Abbott (ABT) Q4 Earnings: A Look at Key Metrics",Yahoo,"The headline numbers for Abbott (ABT) give insight into how the company performed in the quarter ended December 2024, but it may be worthwhile to compare some of its key metrics to Wall Street estimates and the year-ago actuals.",0
2025-01-23,"Abbott Reports Fourth-Quarter and Full-Year 2024 Results, Issues 2025 Financial Outlook",Finnhub,"ABBOTT PARK - Abbott today announced financial results for the fourth quarter ended Dec. 31, 2024.Fourth-quarter sales increased 7.2 percent on a reported basis, 8.8 percent on an organic basis, and...",1
2025-01-23,My Top 5 Stocks to Buy in Early 2025,Yahoo,"Its the start of a new year, and that makes now the perfect time to load up on stocks that could boost your portfolio in 2025 and over the long term.  The healthcare space is a great place to look for these sorts of players because here youll find all that you need to gain in both growth and security -- from young biotechs developing game-changing technologies to big pharma or medical device players selling blockbuster drugs and paying out dividends to investors.  If you select quality companies and diversify across these themes of growth and security, your portfolio could shine during any market environment -- and, most importantly, offer you solid returns over the long term.",0
2025-01-23,Health Care Down on Mixed Earnings -- Health Care Roundup,Finnhub,"Health-care companies ticked down amid mixed earnings. Johnson & Johnson fell even after it unveiled financial results that beat Wall Street expectations, as investors brace for one of its...",-1
2025-01-23,Abbott Laboratories: Now Back In The Buy Zone (Rating Upgrade),SeekingAlpha,Abbott Laboratories just extended its dividend growth streak with a 7.3% hike in the quarterly dividend per share last month.,1
2025-01-24,What Can The Dividend Kings Deliver In 2025?,SeekingAlpha,The Dividend Kings underperformed in 2024. Read here to know about the top 18 most opportune Dividend Kings based on valuation and total return.,0
2025-01-27,"Stryker: A Cool Name For An Awesome Company, But Is It A Buy Ahead Of Earnings?",SeekingAlpha,Stryker Corporations innovation and market leadership justify a premium. See why SYK stock is a solid hold with long-term growth potential despite high valuations.,0
2025-02-01,"Musk’s X Adds Nestlé, Colgate, Shell, Other Brands to Ad-Boycott Suit",DowJones,"Musk’s X Adds Nestlé, Colgate, Shell, Other Brands to Ad-Boycott Suit",0
2025-02-04,Communications Services Up as Traders Chase Gain - Communications Services Roundup,MarketWatch,Communications Services Up as Traders Chase Gain - Communications Services Roundup,0
2025-02-07,"Our Real-Life Market-Beating U.S. Stock Portfolio, Ten Years After",SeekingAlpha,"Discover the successful decade-long journey of a stock portfolio focusing on dividend growth companies, outperforming the S&P 500. Find out the lessons Ive learned.",0
2025-02-08,Why We Chose Abbott Labs Stock Amid Tariff And DeepSeek Volatility,DowJones,Why We Chose Abbott Labs Stock Amid Tariff And DeepSeek Volatility,1
2025-02-08,"Dividend Champion, Contender, And Challenger Highlights: Week Of February 9",SeekingAlpha,Stay informed on the latest dividend activity for top companies with this weekly summary. Read more here.,0
2025-02-13,Janus Henderson Global Life Sciences Fund Q4 2024 Commentary,SeekingAlpha,The Janus Henderson Global Life Sciences Fund returned -11.16% and the MSCI World Health Care IndexSM returned -11.40%. Click here to read the full commentary. ,-1
2025-02-14,AbbVie Names CEO Robert Michael Chairman as Richard Gonzalez Retires,MarketWatch,AbbVie Names CEO Robert Michael Chairman as Richard Gonzalez Retires,0
2025-02-14,Tracking Jeremy Granthams GMO Capital Portfolio - Q4 2024 Update,SeekingAlpha,GMOs portfolio update highlights key stock adjustments and forecasts a promising 9.6% return for International Deep Value assets. See more here.,0
2025-02-16,IXJ: Healthcare Sector Dashboard For February,SeekingAlpha,The healthcare sector is currently overvalued by about 13% relative to 11-year averages. Check out the top-down analysis of the healthcare sector.,-1
2025-02-20,Abbott Laboratories stock underperforms Wednesday when compared to competitors despite daily gains,MarketWatch,Abbott Laboratories stock underperforms Wednesday when compared to competitors despite daily gains,-1
2025-02-21,Abbott Declares 405th Consecutive Quarterly Dividend,Finnhub,"ABBOTT PARK, Ill., Feb. 21, 2025 /PRNewswire/ -- The board of directors of Abbott today declared a quarterly common dividend of 59 cents per share.This marks the 405th consecutive quarterly...",0
2025-02-27,My Best Dividend Aristocrats For March 2025,SeekingAlpha,Discover 3 strategies outperforming the Dividend Aristocrat Index with higher yields and superior CAGR. Start 2025 with smarter investing insights.,0
2025-02-27,Dividend Stocks Are Dangerous. Where to Find Safety and Yield Now.,MarketWatch,Dividend Stocks Are Dangerous. Where to Find Safety and Yield Now.,0
2025-02-27,2025 Dividend Kings - Off To A Strong Start,SeekingAlpha,"The Dividend Kings are outperforming the S&P 500 in 2025, up 4% YTD versus 1.39% for SPY. Check out the list of dividend kings that are attractive.",0
2025-03-07,Strong Earnings Lift Abbott Laboratories Shares,Yahoo,"Health care company Abbott Laboratories (ABT) increases sales, earnings around the globe.",1
2025-03-07,2 Dependable Dividend Stocks That Can Pay You for Life,Yahoo,"What makes an outstanding dividend stock?  High yields can seem attractive to income seekers, but unless a company has a steady, reliable business, payout cuts are a real possibility no matter how juicy its dividend yield.  For those seeking dividend stocks to buy and hold for good, its best to opt for companies that have proven they can perform relatively well -- and continue raising their dividends -- through economic and market fluctuations.",0
2025-03-10,3 Reasons to Avoid ABT and 1 Stock to Buy Instead,Yahoo,"Abbott Laboratories’s 16.6% return over the past six months has outpaced the S&P 500 by 12.8%, and its stock price has climbed to $136.50 per share. This run-up might have investors contemplating their next move.",-1
2025-03-12,Fidelity Select Health Care Portfolio Q4 2024 Review,SeekingAlpha,"Health care stocks returned -9.75% in the final quarter of 2024, according to the MSCI U.S. IMI Health Care 25/50 Index, widely lagging the 2.41% gain of the broad-based S&P 500Â® index.",-1
2025-03-15,S&P 500 Gains and Losses Today: Index Bounces Off Lows as Government Shutdown Concerns Ease,Yahoo,"The S&P 500 jumped 2.1% on Friday, March 14, wrapping up a volatile week as government shutdown concerns eased.",0
2025-03-15,Abbott Says CEO Robert B. Fords 2024 Compensation Was $22.6 Million,Finnhub,Abbott Laboratories: * ABBOTT SAYS CEO ROBERT B. FORDS 2024 COMPENSATION WAS$22.6MILLION- SEC FILINGFurther company coverage: ...,0
2025-03-15,Citi sees overturned verdict in state case as incrementally negative for Abbott,Yahoo,"Citi notes that Investing.com reported on Friday that the judge in the Whitfield infant formula case has overturned the October 31 verdict, which was in favor of Reckitt Benckiser’s (RBGLY) Mead Johnson unit. The jury had originally ruled that Mead Johnson was not liable for failing to warn of the risks of NEC related to its infant formulas. As a reminder, for Abbott (ABT), there is a Federal multidistrict litigation case scheduled for May 5, 2025, in Chicago. The firm anticipates that the case",-1
2025-03-15,Abbott and Reckitt Fall on News of New Infant Formula Trial,Yahoo,"(Bloomberg) -- Abbott Laboratories and Reckitt Benckiser Group Plc shares fell as a judge ordered a new trial after rejecting a verdict that had cleared the companies of liability over claims they hid potential risks of their premature-infant formulas.Most Read from BloombergTrump DEI Purge Hits Affordable Housing GroupsHow Britain’s Most Bike-Friendly New Town Got BuiltICE Eyes Massive California Tent Facility Amid Space ConstraintsThe Dark Prophet of Car-Clogged CitiesWashington, DC, Region Br",-1
2025-03-18,"Reckitt’s Mead Johnson, Abbott to face new trial in US infant-formula case",Yahoo,Reckitt described the re-opening of the trial as being “at complete odds with the law and the facts”.,-1
2025-03-24,Abbott Initiates New Intravascular Lithotripsy Clinical Trial to Improve Outcomes in Patients with Coronary Artery Disease,Yahoo,Abbott (NYSE: ABT) today announced that the U.S. Food and Drug Administration (FDA) has approved an investigational device exemption (IDE) for its Coronary Intravascular Lithotripsy (IVL) System to evaluate the treatment of severe calcification in coronary arteries prior to stenting. The TECTONIC Coronary Artery Disease (CAD) Intravascular Lithotripsy (IVL) clinical trial will enroll up to 335 people in 47 sites in the U.S.,1
2025-03-24,Watch These 5 AI-Powered Healthcare Bigwigs for Portfolio Gains,Yahoo,"Five AI-powered stocks have strong revenues and earnings growth potentials for 2025. These are: MDT, LLY, BSX, NVS, ABT.",1
2025-03-24,Jim Cramer On Abbott Laboratories (ABT): “Abbott Labs Stock Is Back on My Radar”,Yahoo,"We recently published a list of Jim Cramer Discusses These 10 Stocks & Says US Faces Unfairly High Tariffs Abroad. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against other stocks that Jim Cramer discusses. In a recent appearance on CNBC’s Squawk on the Street, Jim Cramer […]",1
2025-03-25,Abbott Laboratories (NYSE:ABT) Receives FDA Approval For Coronary IVL System Trial In US,Yahoo,"Abbott Laboratories (NYSE:ABT) has caught investor attention with the FDA’s approval of an Investigational Device Exemption (IDE) for its Coronary Intravascular Lithotripsy (IVL) System, a significant development within the realm of coronary artery disease treatment. This announcement comes in conjunction with the companys recent robust Q4 2024 earnings results, reporting net income and diluted EPS growth. Additionally, Abbott declared its 405th consecutive quarterly dividend and outlined...",1
2025-03-26,Diamond Hill Capital is Crazy About Abbott Laboratories (NYSE:ABT),Yahoo,"We recently published a list of Diamond Hill Capital Stock Portfolio: Top 10 Stock Picks. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against other top 10 stock picks of Diamond Hill Capital. Heather Brilliant, CFA, serves as CEO for Diamond Hill Capital and joined the firm in 2019, […]",1
2025-03-27,Abbott Receives CE Mark for its Volt™ Pulsed Field Ablation System to Treat Patients with Abnormal Heart Rhythms,Yahoo,"Abbott (NYSE: ABT) today announced it has received CE Mark in Europe for the Volt™ PFA System to treat patients battling atrial fibrillation (AFib). With the earlier-than-expected CE Mark, Abbott has begun commercial PFA cases in the EU with physicians who have already gained experience with the Volt PFA System within Abbotts PFA clinical studies. The company will further expand use of Volt in EU markets throughout the second half of the year.",1
2025-03-28,Why Abbott Laboratories (ABT) Surged On Thursday?,Yahoo,"We recently published a list of 10 Stocks Jump, Defy Market Uncertainties on Thursday. In this article, we are going to take a look at where Abbott Laboratories (NYSE:ABT) stands against other stocks that jumped, defying market uncertainties on Thursday. The stock market extended losses on Thursday, with all the major indices ending in the […]",1
2025-03-29,3 Relatively Safe Stocks to Buy Right Now,Yahoo,"Investing in stocks comes with risks.  David Jagielski (Abbott Laboratories): If youre looking for safety within the healthcare sector, a top name to consider right now is Abbott Laboratories.  For starters, it offers an above-average dividend yield of 1.9% (the S&P 500 average is 1.4%).",1
2025-03-29,"Top Research Reports for McDonalds, Abbott & OReilly Automotive",Yahoo,"Todays Research Daily features new research reports on 12 major stocks, including McDonalds Corp. (MCD), Abbott Laboratories (ABT) and OReilly Automotive, Inc. (ORLY), as well as a micro-cap stock MIND Technology, Inc. (MIND).",0
2025-03-31,"The Zacks Analyst Blog Highlights McDonalds, Abbott Laboratories, OReilly Automotive and MIND Technology",Yahoo,"McDonalds, Abbott Laboratories, OReilly Automotive and MIND Technology are part of the Zacks top Analyst Blog.",0
2025-04-01,Abbott (ABT) Outperforms Broader Market: What You Need to Know,Yahoo,"In the latest trading session, Abbott (ABT) closed at $132.65, marking a +1.4% move from the previous day.",1
